,price,date_of_transfer,joined
283,330000,2022-02-25,"DAZELEY HOUSE, 1 CAMBRIDGE PLACE"
284,325000,2022-03-01,"DAZELEY HOUSE, 1 CAMBRIDGE PLACE"
285,345000,2022-03-11,"DAZELEY HOUSE, 1 CAMBRIDGE PLACE"
286,320000,2022-03-18,"DAZELEY HOUSE, 1 CAMBRIDGE PLACE"
287,905000,2021-02-12,THE EMPEROR PUBLIC HOUSE CAMBRIDGE PLACE
288,485000,2023-12-21,19E HILLS ROAD
289,1350000,2020-09-17,18 PANTON STREET
290,3277700,2022-04-14,30 PANTON STREET
291,2675000,2022-09-23,26 PANTON STREET
292,1880000,2024-05-15,18 PANTON STREET
293,155000,2021-12-02,45 HANOVER COURT
294,1500000,2021-05-18,6 ST BARNABAS ROAD
295,1395000,2021-04-09,31 GLISSON ROAD
296,900000,2023-11-03,3 GLISSON ROAD
297,1100000,2024-08-23,23 GLISSON ROAD
298,2550000,2021-06-29,16A LYNDEWODE ROAD
299,2200000,2023-04-28,19 LYNDEWODE ROAD
300,1900000,2024-08-27,14 LYNDEWODE ROAD
301,2000000,2023-03-31,11 ST BARNABAS ROAD
302,2100000,2024-03-14,13 ST BARNABAS ROAD
303,700000,2020-11-30,26 CAMBRIDGE PLACE
304,725000,2021-10-28,16 CAMBRIDGE PLACE
305,570000,2022-01-06,44 CAMBRIDGE PLACE
306,1600000,2023-01-05,20 CAMBRIDGE PLACE
307,780000,2023-08-24,26 CAMBRIDGE PLACE
308,285000,2020-02-26,THOMAS HOUSE GEORGE IV STREET
309,425000,2020-12-21,17 GEORGE IV STREET
310,1250000,2023-08-04,"THE COURTYARD, 18 GEORGE IV STREET"
311,530000,2023-12-08,15 GEORGE IV STREET
312,650000,2024-07-23,16 GEORGE IV STREET
313,570000,2020-11-06,14 ST PAULS WALK
314,360000,2021-01-30,3 ST PAULS WALK
315,299999,2021-09-06,17 ST PAULS WALK
316,590000,2022-04-08,15 ST PAULS WALK
317,585000,2022-06-20,16 ST PAULS WALK
318,330000,2023-05-12,12 ST PAULS WALK
319,600000,2022-05-27,27 UNION ROAD
320,185000,2024-01-16,21A UNION ROAD
321,1000000,2021-03-31,10 HILLS ROAD
322,577000,2020-01-24,7 DEVONSHIRE ROAD
323,267000,2020-01-31,18 DEVONSHIRE ROAD
324,923000,2020-03-17,22 DEVONSHIRE ROAD
325,495000,2020-06-17,35 DEVONSHIRE ROAD
326,585000,2021-06-29,32 DEVONSHIRE ROAD
327,626000,2022-02-15,34 DEVONSHIRE ROAD
328,677000,2022-08-02,25 DEVONSHIRE ROAD
329,695000,2023-01-30,38 DEVONSHIRE ROAD
330,760000,2024-02-21,25 DEVONSHIRE ROAD
331,680000,2024-07-29,10 DEVONSHIRE ROAD
332,1600333,2023-10-17,74 ST BARNABAS ROAD
333,1710000,2021-03-25,58 GLISSON ROAD
334,1830000,2023-12-13,30 GLISSON ROAD
335,1945000,2024-05-28,46 GLISSON ROAD
336,1457000,2020-11-19,55 TENISON ROAD
337,1085000,2021-02-05,57 TENISON ROAD
338,1085000,2021-03-24,27 TENISON ROAD
339,1450000,2022-10-14,77 TENISON ROAD
340,2175000,2020-10-22,49 ST BARNABAS ROAD
341,1850000,2021-04-09,45 ST BARNABAS ROAD
342,2057000,2024-01-23,47 ST BARNABAS ROAD
343,241000,2024-08-01,35 ST BARNABAS ROAD
344,395000,2021-12-03,2 - 4 LENSFIELD ROAD
345,705500,2020-06-09,72 TENISON ROAD
346,645000,2020-11-20,16 TENISON ROAD
347,725000,2020-11-26,74 TENISON ROAD
348,617000,2021-03-15,58 TENISON ROAD
349,795000,2021-05-21,70 TENISON ROAD
350,1150000,2021-06-18,104 TENISON ROAD
